"Alue","Ikä","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Yhteensä 2019","Yhteensä 2020","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Miehet 2019","Miehet 2020","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018","Naiset 2019","Naiset 2020"
"Tanska","Työllinen työvoima yhteensä",2340400,2376362,2407434,2446289,2497657,2514877,2532098,2543633,2503435,2471989,2474788,2506004,2556892,2579233,2527229,2426727,2402929,2391953,2399560,2423750,2457089,2495222,2530648,2569685,2588278,..,1258931,1280753,1296174,1314452,1334234,1336784,1341988,1342630,1319198,1299799,1302161,1317813,1342740,1350677,1315631,1245006,1235976,1238831,1242707,1258009,1278041,1300197,1317637,1336205,1343399,..,1081469,1095609,1111260,1131837,1163423,1178093,1190110,1201003,1184237,1172190,1172627,1188191,1214152,1228556,1211598,1181721,1166953,1153122,1156853,1165741,1179048,1195025,1213011,1233480,1244879,..
"Tanska","20-24",259815,271000,270818,265904,263750,256307,245572,235441,221119,210186,208378,214983,225700,233065,219164,209119,208694,216492,219024,224161,233594,240293,246040,249799,248832,..,139393,145001,144947,142375,140179,135613,129033,122983,115249,108619,108473,112266,118313,121754,113767,105638,105511,109478,110576,113688,119003,122566,125342,127593,126536,..,120422,125999,125871,123529,123571,120694,116539,112458,105870,101567,99905,102717,107387,111311,105397,103481,103183,107014,108448,110473,114591,117727,120698,122806,122296,..
"Tanska","25-29",307736,302835,297578,299822,305302,306783,308715,301703,282757,272287,265403,261201,260427,258940,240827,224534,219216,223234,228753,237078,247163,256963,270337,281146,287567,..,167609,165333,162013,162370,163405,162746,163299,158872,148625,142849,139662,137228,136441,134929,124768,114716,112990,116569,120043,125108,130949,136525,143017,148280,151198,..,140127,137502,135565,137452,141897,144037,145416,142831,134132,129438,125741,123973,123986,124011,116059,109818,106226,106665,108710,111970,116214,120438,127320,132866,136369,..
"Tanska","30-49",1264980,1274320,1283478,1295136,1311436,1313303,1318456,1325700,1309782,1295415,1299102,1316998,1340217,1346430,1321731,1268528,1252154,1223688,1209405,1199829,1189578,1181766,1176732,1181056,1181460,..,665590,671406,675610,681021,687233,685899,688007,689791,681207,673926,676459,685275,695771,697058,680332,645161,639661,631186,623972,620259,616657,614649,612623,614522,614326,..,599390,602914,607868,614115,624203,627404,630449,635909,628575,621489,622643,631723,644446,649372,641399,623367,612493,592502,585433,579570,572921,567117,564109,566534,567134,..
"Tanska","50-64",507869,528207,555560,585427,617169,638484,659355,680789,689777,694101,701905,712822,730548,740798,745507,724546,722865,728539,742378,762682,786754,816200,837539,857684,870419,..,286339,299013,313604,328686,343417,352526,361649,370984,374117,374405,377567,383044,392215,396936,396764,379491,377814,381598,388116,398954,411432,426457,436655,445810,451339,..,221530,229194,241956,256741,273752,285958,297706,309805,315660,319696,324338,329778,338333,343862,348743,345055,345051,346941,354262,363728,375322,389743,400884,411874,419080,..
