"Alue","Ikä","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Yhteensä 2019","Yhteensä 2020","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Miehet 2019","Miehet 2020","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018","Naiset 2019","Naiset 2020"
"Ruotsi","Työllinen työvoima yhteensä",3666821,3708044,3703487,3688492,3782780,3833439,3922375,3967463,3994681,3966607,4023805,4115154,4115154,4201813,4205766,4076335,4172565,4239235,4279777,4304277,4345661,4412649,4504261,4568497,4621525,4644173,1884091,1926124,1924288,1928690,1975436,2005359,2055638,2064653,2079184,2063687,2091937,2138616,2138616,2189202,2189591,2110760,2156116,2200370,2212217,2223833,2242746,2275416,2320719,2362846,2397126,..,1782730,1781920,1779199,1759802,1807344,1828080,1866737,1902810,1915497,1902920,1931868,1976538,1976538,2012611,2016175,1965575,2016449,2038865,2067560,2080444,2102915,2137233,2183542,2205651,2224399,..
"Ruotsi","20-24",295602,297636,279355,270376,293053,280149,302101,298825,301311,289889,289305,320387,320387,346371,346581,317326,356687,371156,387967,393020,393301,398912,406063,402609,382662,366770,151669,157045,147731,145117,154270,150689,163135,157614,156633,153473,154421,169352,169352,183190,184496,164215,184848,197969,201146,202163,203780,205099,207200,209114,202662,..,143933,140591,131624,125259,138783,129460,138966,141211,144678,136416,134884,151035,151035,163181,162085,153111,171839,173187,186821,190857,189521,193813,198863,193495,180000,..
"Ruotsi","25-29",437148,430878,421041,408451,419734,432963,440321,433350,414366,394368,384559,395220,395220,407821,410306,386795,403447,419674,430873,447132,467423,495424,522427,542848,557439,561939,231016,233197,225209,221544,225915,232614,238029,230824,218612,207462,201612,207451,207451,215628,217432,203539,212712,222624,227535,236367,245074,258671,272465,285263,292818,..,206132,197681,195832,186907,193819,200349,202292,202526,195754,186906,182947,187769,187769,192193,192874,183256,190735,197050,203338,210765,222349,236753,249962,257585,264621,..
"Ruotsi","30-49",1957215,1958624,1942587,1925419,1945972,1965835,1989636,2011080,2020050,2011164,2031695,2056522,2056522,2083695,2091868,2047878,2080621,2105228,2112131,2110826,2112370,2119962,2142212,2163188,2198825,2220840,1005077,1015953,1007731,1005327,1015954,1026432,1042199,1048401,1053571,1049589,1059257,1071635,1071635,1086576,1089054,1062579,1078353,1092079,1094123,1094164,1093124,1097526,1108968,1122372,1142640,..,952138,942671,934856,920092,930018,939403,947437,962679,966479,961575,972438,984887,984887,997119,1002814,985299,1002268,1013149,1018008,1016662,1019246,1022436,1033244,1040816,1056185,..
"Ruotsi","50-64",976856,1020906,1060504,1084246,1124521,1154492,1190317,1224208,1258954,1271186,1318246,1343025,1343025,1363926,1357011,1324336,1331810,1343177,1348806,1353299,1372567,1398351,1433559,1459852,1482599,1494624,496329,519929,543617,556702,579797,595624,612275,627814,650368,653163,676647,690178,690178,703808,698609,680427,680203,687698,689413,691139,700768,714120,732086,746097,759006,..,480527,500977,516887,527544,544724,558868,578042,596394,608586,618023,641599,652847,652847,660118,658402,643909,651607,655479,659393,662160,671799,684231,701473,713755,723593,..
