"Alue","Ikä","Yhteensä 1993","Yhteensä 1994","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Yhteensä 2019","Yhteensä 2020","Miehet 1993","Miehet 1994","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Miehet 2019","Miehet 2020","Naiset 1993","Naiset 1994","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018","Naiset 2019","Naiset 2020"
"Tanska","Työikäiset yhteensä",3431558,3442856,3455303,3476448,3489765,3495879,3501774,3503613,3505832,3509872,3512710,3513194,3515946,3521619,3530789,3542311,3557786,3558015,3559450,3556087,3555638,3563657,3577820,3603428,3624474,3637943,3645036,3645886,1739269,1745061,1751181,1762054,1768407,1771262,1773464,1773524,1773690,1774508,1774992,1774495,1774975,1777179,1781215,1786921,1795076,1793432,1792918,1790560,1790470,1794952,1804151,1819459,1830637,1837124,1840881,1840817,1692289,1697795,1704122,1714394,1721358,1724617,1728310,1730089,1732142,1735364,1737718,1738699,1740971,1744440,1749574,1755390,1762710,1764583,1766532,1765527,1765168,1768705,1773669,1783969,1793837,1800819,1804155,1805069
"Tanska","16-19",284743,276028,267575,256723,250085,242132,233877,226476,221932,223857,227366,232804,239772,247279,255424,263741,272844,278382,284156,289238,288631,288572,284785,281837,281795,279366,276903,275514,145573,141064,136857,131505,127809,123514,119359,115366,113105,114235,116134,119294,123124,127112,131239,135326,139926,142893,145654,148389,148107,148042,146346,144635,144500,143014,141712,141000,139170,134964,130718,125218,122276,118618,114518,111110,108827,109622,111232,113510,116648,120167,124185,128415,132918,135489,138502,140849,140524,140530,138439,137202,137295,136352,135191,134514
"Tanska","20-24",374324,372865,373891,377173,369767,357920,350075,339787,326414,315966,308389,298461,292541,291367,296255,303797,315695,326535,337459,347475,359625,368274,377040,386749,391322,391572,388990,381891,191684,190383,190288,191621,187542,181637,177534,172217,165369,159458,155592,150711,147943,147640,150535,154548,160988,166418,171997,176821,183050,187595,192234,197598,200134,199939,198647,194954,182640,182482,183603,185552,182225,176283,172541,167570,161045,156508,152797,147750,144598,143727,145720,149249,154707,160117,165462,170654,176575,180679,184806,189151,191188,191633,190343,186937
"Tanska","25-29",423701,418181,408250,398393,388442,384397,382635,383401,384918,377237,365296,356967,345714,333422,323822,319723,315123,310970,311548,316190,322222,333707,346358,361983,374117,386777,394889,400810,217918,215133,209560,204093,198829,196096,194454,194097,194438,190137,183903,179508,173681,167443,162254,160378,158214,155957,156548,159427,162747,169199,176161,184872,190982,197346,201431,204408,205783,203048,198690,194300,189613,188301,188181,189304,190480,187100,181393,177459,172033,165979,161568,159345,156909,155013,155000,156763,159475,164508,170197,177111,183135,189431,193458,196402
"Tanska","30-49",1537627,1545242,1548154,1555448,1559512,1559401,1558161,1557903,1557886,1563700,1568882,1568788,1569735,1570514,1565882,1562766,1561433,1555170,1545591,1530811,1515928,1497580,1481942,1470752,1455681,1446009,1443809,1442856,783665,787643,789259,792739,794471,794342,793609,793452,792946,795295,796960,795956,795558,794837,791997,790213,789197,784740,778890,770601,762853,753329,746079,741355,734127,729527,728455,727442,753962,757599,758895,762709,765041,765059,764552,764451,764940,768405,771922,772832,774177,775677,773885,772553,772236,770430,766701,760210,753075,744251,735863,729397,721554,716482,715354,715414
"Tanska","50-64",811163,830540,857433,888711,921959,952029,977026,996046,1014682,1029112,1042777,1056174,1068184,1079037,1089406,1092284,1092691,1086958,1080696,1072373,1069232,1075524,1087695,1102107,1121559,1134219,1140445,1144815,400429,410838,425217,442096,459756,475673,488508,498392,507832,515383,522403,529026,534669,540147,545190,546456,546751,543424,539829,535322,533713,536787,543331,550999,560894,567298,570636,573013,410734,419702,432216,446615,462203,476356,488518,497654,506850,513729,520374,527148,533515,538890,544216,545828,545940,543534,540867,537051,535519,538737,544364,551108,560665,566921,569809,571802
