"Alue","Ikä","Yhteensä 1993","Yhteensä 1994","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Yhteensä 2019","Yhteensä 2020","Miehet 1993","Miehet 1994","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Miehet 2019","Miehet 2020","Naiset 1993","Naiset 1994","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018","Naiset 2019","Naiset 2020"
"Suomi","Työikäiset yhteensä",3325482,3336189,3342245,3348139,3355616,3365951,3381532,3394604,3403420,3413721,3419348,3421648,3426312,3440592,3440574,3462989,3477279,3486544,3482346,3470683,3456471,3441176,3424450,3409405,3400819,3371726,3362510,3356499,1677881,1683913,1687857,1691095,1694880,1700287,1708264,1715171,1719409,1724787,1727836,1728922,1731447,1738533,1738784,1750050,1757703,1762305,1760300,1754957,1748519,1741268,1733164,1726547,1724784,1713179,1710292,1708614,1647601,1652276,1654388,1657044,1660736,1665664,1673268,1679433,1684011,1688934,1691512,1692726,1694865,1702059,1701790,1712939,1719576,1724239,1722046,1715726,1707952,1699908,1691286,1682858,1676035,1658547,1652218,1647885
"Suomi","16-19",251106,260729,263355,262618,260362,259372,262124,265677,267614,266998,261756,254962,253306,254023,258864,264246,267372,268517,267872,265804,260095,255020,247275,242394,240339,237045,236199,237737,128581,133232,134752,133963,132894,132392,134005,136064,136884,136536,133727,130305,129482,129886,132322,134902,136489,136979,136463,135500,132643,130032,126235,123811,123391,122031,121190,121726,122525,127497,128603,128655,127468,126980,128119,129613,130730,130462,128029,124657,123824,124137,126542,129344,130883,131538,131409,130304,127452,124988,121040,118583,116948,115014,115009,116011
"Suomi","20-24",319454,306405,303187,305051,310629,317870,326044,328066,327230,325599,327262,330871,333364,333936,332004,327266,325440,324472,327780,332881,339758,340871,342086,339216,335040,320376,313944,308410,163134,156736,154838,156008,159086,162473,166533,167606,167084,166249,167305,169099,170494,170710,169860,167344,166488,165988,167817,170256,173775,174276,174762,173332,171797,164499,161679,159178,156320,149669,148349,149043,151543,155397,159511,160460,160146,159350,159957,161772,162870,163226,162144,159922,158952,158484,159963,162625,165983,166595,167324,165884,163243,155877,152265,149232
"Suomi","25-29",374213,368480,357733,347131,334569,320816,307320,304448,306202,312190,319485,327973,330853,331174,330967,334682,340416,344634,346063,345438,341295,339934,339565,342528,347839,354872,355685,352990,191029,187952,182487,177046,170510,163755,157174,155590,156842,160236,163651,167827,169294,169408,169194,171554,174715,177022,177710,177541,175226,174367,174020,175568,178544,182635,183092,181808,183184,180528,175246,170085,164059,157061,150146,148858,149360,151954,155834,160146,161559,161766,161773,163128,165701,167612,168353,167897,166069,165567,165545,166960,169295,172237,172593,171182
"Suomi","30-49",1586717,1601907,1611784,1605410,1589627,1572053,1552401,1529435,1507228,1488257,1464746,1442794,1425860,1413621,1403348,1395996,1392109,1385833,1379954,1375915,1375369,1375012,1373812,1370996,1367731,1364090,1372398,1385182,810124,817509,822079,818023,809479,800048,789553,777376,765475,755342,743503,732582,724249,718371,713494,710075,708781,705746,703497,701959,702312,702734,702517,701828,701087,700501,705147,712447,776593,784398,789705,787387,780148,772005,762848,752059,741753,732915,721243,710212,701611,695250,689854,685921,683328,680087,676457,673956,673057,672278,671295,669168,666644,663589,667251,672735
"Suomi","50-64",793992,798668,806186,827929,860429,895840,933643,966978,995146,1020677,1046099,1065048,1082929,1107838,1115391,1140799,1151942,1163088,1160677,1150645,1139954,1130339,1121712,1114271,1109870,1095343,1084284,1072180,385013,388484,393701,406055,422911,441619,460999,478535,493124,506424,519650,529109,537928,550158,553914,566175,571230,576570,574813,569701,564563,559859,555630,552008,549965,543513,539184,533455,408979,410184,412485,421874,437518,454221,472644,488443,502022,514253,526449,535939,545001,557680,561477,574624,580712,586518,585864,580944,575391,570480,566082,562263,559905,551830,545100,538725
