"Alue","Ikä","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Yhteensä 2019","Yhteensä 2020","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Miehet 2019","Miehet 2020","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018","Naiset 2019","Naiset 2020"
"Tanska","Työttömät yhteensä (20-64)* (ks. metatiedot)",282647,240860,216426,179942,155783,148444,143168,142804,168487,174165,155537,108423,76721,51215,98213,113839,108392,118762,117498,106408,101721,91512,84270,79649,84727,..,131400,113444,97541,79562,71556,67456,65470,67766,82156,83389,71905,48281,33530,25515,59369,67800,58822,62221,61303,53636,50210,44250,40583,38111,41066,..,151247,127416,118885,100380,84227,80988,77698,75038,86331,90776,83632,60142,43191,25700,38844,46039,49570,56541,56196,52773,51512,47263,43688,41538,43661,58808
"Tanska","20-24* (ks. metatiedot)",35253,27202,20109,16137,13955,11253,10531,10512,12449,12271,10048,7947,5529,4902,9971,10355,9472,10661,11226,8283,7650,6585,6329,5330,4640,..,16664,13286,9600,7462,6830,5499,5313,5533,6819,6604,5150,3859,2490,2538,6276,6292,5417,5990,6218,4369,3909,3292,3170,2614,2278,..,18589,13916,10509,8675,7125,5754,5218,4979,5630,5667,4898,4088,3039,2364,3695,4063,4055,4671,5008,3915,3742,3293,3160,2716,2362,2970
"Tanska","25-29",45302,39880,34019,26372,22661,20743,19354,19471,22806,22607,18722,12223,8981,6447,12287,12903,12249,14697,16402,14984,15459,15938,16937,16544,16366,..,20490,17953,14791,11119,9998,9037,8552,9123,11148,10715,8498,5306,3772,3052,7162,7363,6336,7444,8186,7091,7212,7322,7919,7660,7532,..,24812,21927,19228,15253,12663,11706,10802,10348,11658,11892,10224,6917,5209,3395,5125,5540,5913,7253,8216,7893,8247,8617,9018,8884,8834,11853
"Tanska","30-49",126350,116982,107986,89832,78207,73919,69675,69851,83572,87619,78398,53506,38924,26311,51118,60183,57315,60626,58806,53752,49935,43743,42831,40861,39202,..,59038,54438,47779,39188,35117,32549,30746,31962,39097,40106,34439,22617,16265,12549,29742,34480,29640,30062,29132,25963,23680,20422,20188,19181,18359,..,67312,62544,60207,50644,43090,41370,38929,37889,44475,47513,43959,30889,22659,13762,21376,25703,27675,30564,29673,27789,26254,23320,22643,21681,20843,28089
"Tanska","50-64* (ks. metatiedot)",75742,56796,54312,47601,40960,42529,43608,42970,49660,51668,48369,34744,23287,13555,24837,30398,29356,32778,31066,29390,28679,25246,18173,16914,24519,..,35208,27767,25371,21793,19611,20371,20859,21148,25092,25964,23818,16497,11003,7376,16189,19665,17429,18725,17766,16213,15410,13212,9306,8656,12897,..,40534,29029,28941,25808,21349,22158,22749,21822,24568,25704,24551,18247,12284,6179,8648,10733,11927,14053,13300,13178,13268,12034,8867,8257,11622,15896
