"Alue","Ikä","Yhteensä 1995","Yhteensä 1996","Yhteensä 1997","Yhteensä 1998","Yhteensä 1999","Yhteensä 2000","Yhteensä 2001","Yhteensä 2002","Yhteensä 2003","Yhteensä 2004","Yhteensä 2005","Yhteensä 2006","Yhteensä 2007","Yhteensä 2008","Yhteensä 2009","Yhteensä 2010","Yhteensä 2011","Yhteensä 2012","Yhteensä 2013","Yhteensä 2014","Yhteensä 2015","Yhteensä 2016","Yhteensä 2017","Yhteensä 2018","Miehet 1995","Miehet 1996","Miehet 1997","Miehet 1998","Miehet 1999","Miehet 2000","Miehet 2001","Miehet 2002","Miehet 2003","Miehet 2004","Miehet 2005","Miehet 2006","Miehet 2007","Miehet 2008","Miehet 2009","Miehet 2010","Miehet 2011","Miehet 2012","Miehet 2013","Miehet 2014","Miehet 2015","Miehet 2016","Miehet 2017","Miehet 2018","Naiset 1995","Naiset 1996","Naiset 1997","Naiset 1998","Naiset 1999","Naiset 2000","Naiset 2001","Naiset 2002","Naiset 2003","Naiset 2004","Naiset 2005","Naiset 2006","Naiset 2007","Naiset 2008","Naiset 2009","Naiset 2010","Naiset 2011","Naiset 2012","Naiset 2013","Naiset 2014","Naiset 2015","Naiset 2016","Naiset 2017","Naiset 2018"
"Ruotsi","Työttömät yhteensä (20-64)* (ks. metatiedot)",345965,322029,366987,276754,268698,224941,186319,179357,214856,230692,233654,202405,161404,141310,222225,216623,193885,200020,202484,192389,186449,183694,186861,180609,191229,175910,199548,151857,147584,123722,103616,101911,123061,130603,128865,109738,85851,75829,129835,119972,102153,108772,112042,106593,103950,102886,102281,95077,154736,146119,167439,124897,121114,101219,82703,77446,91795,100089,104789,92667,75553,65481,92390,96651,91732,91248,90442,85796,82500,80808,84580,85532
"Ruotsi","20-24* (ks. metatiedot)",77211,64964,65134,42789,33803,25863,25825,26697,34304,34320,36134,30103,26333,21173,32397,27745,24868,27065,26743,24397,22353,20678,19362,17004,40644,34532,35414,23817,19209,14636,14911,15676,20238,20033,20787,17198,15079,12472,20199,15876,14038,15845,15927,14735,13686,12914,12035,10256,36567,30432,29720,18972,14594,11227,10914,11021,14066,14287,15347,12905,11254,8701,12198,11869,10830,11220,10816,9662,8668,7764,7327,7327
"Ruotsi","25-29",63146,58244,60167,46499,41376,33024,28665,29914,34629,37424,36944,31261,21983,20198,34588,32739,29340,30762,31768,30343,30076,30143,30324,28002,33888,30173,31124,24071,21514,17062,15266,16550,19428,20728,19925,16747,11552,10801,20579,18179,15448,16667,17563,16798,16862,17087,16902,14993,29258,28071,29043,22428,19862,15962,13399,13364,15201,16696,17019,14514,10431,9397,14009,14560,13892,14095,14205,13545,13214,13056,13422,13422
"Ruotsi","30-49",150043,143419,168817,136473,127625,102985,82044,80702,97997,107132,105559,91537,71865,66509,106183,105053,95220,96756,98118,94052,91819,90696,93409,91031,84074,79079,91966,74512,69301,55512,44331,44573,54239,58372,55010,47015,35608,33296,58671,55237,47128,49418,51050,49030,48151,47867,48214,44993,65969,64340,76851,61961,58324,47473,37713,36129,43758,48760,50549,44522,36257,33213,47512,49816,48092,47338,47068,45022,43668,42829,45195,45195
"Ruotsi","50-64* (ks. metatiedot)",55565,55402,61812,50994,65895,63069,49786,42044,47926,51816,53018,49504,41223,33431,49058,51086,44458,45439,45856,43598,42201,42177,43768,44573,32623,32126,35713,29458,37561,36512,29108,25112,29156,31470,31144,28779,23612,19260,30387,30680,25539,26843,27502,26030,25251,25018,25131,24835,22942,23276,26099,21536,28334,26557,20678,16932,18770,20346,21874,20725,17611,14171,18671,20406,18919,18596,18354,17568,16951,17158,18637,18637
